"TOA5","exp","CR1000","63522","CR1000.Std.32.03","CPU:termopar.CR1","9513","termopar"
"TIMESTAMP","RECORD","batt_volt_Min","PTemp","t_terra_Avg","t_agua_Avg"
"TS","RN","","","",""
"","","Min","Smp","Avg","Avg"
"2026-06-25 10:59:00",0,12.73,17.87,17.49,17.51
"2026-06-25 11:00:00",1,12.73,17.89,17.54,17.91
"2026-06-25 11:01:00",2,12.74,17.89,11.99,13.53
"2026-06-25 11:02:00",3,12.73,17.95,12.01,12.91
"2026-06-25 11:03:00",4,12.73,17.95,12.12,12.98
"2026-06-25 11:04:00",5,12.73,17.95,12.31,12.98
"2026-06-25 11:05:00",6,12.72,17.95,12.42,12.93
"2026-06-25 11:06:00",7,12.72,17.99,12.5,13.21
"2026-06-25 11:07:00",8,12.72,17.99,12.63,13.64
"2026-06-25 11:08:00",9,12.72,18.02,13,13.72
"2026-06-25 11:09:00",10,12.72,18.02,13.72,13.88
"2026-06-25 11:10:00",11,12.72,18.05,14.8,14.07
"2026-06-25 11:11:00",12,12.72,18.07,16.1,14.35
"2026-06-25 11:12:00",13,12.72,18.1,17.58,14.59
"2026-06-25 11:13:00",14,12.72,18.1,19.1,14.87
"2026-06-25 11:14:00",15,12.72,18.1,20.53,15.16
"2026-06-25 11:15:00",16,12.72,18.12,21.93,15.4
"2026-06-25 11:16:00",17,12.72,18.12,23.29,15.71
"2026-06-25 11:17:00",18,12.72,18.12,24.56,15.97
"2026-06-25 11:18:00",19,12.72,18.15,25.72,16.24
"2026-06-25 11:19:00",20,12.72,18.15,26.82,16.56
"2026-06-25 11:20:00",21,12.72,18.17,27.88,16.82
"2026-06-25 11:21:00",22,12.72,18.17,28.86,17.12
"2026-06-25 11:22:00",23,12.72,18.17,29.76,17.39
"2026-06-25 11:23:00",24,12.72,18.2,30.62,17.69
"2026-06-25 11:24:00",25,12.71,18.23,31.43,17.99
"2026-06-25 11:25:00",26,12.72,18.23,32.21,18.23
"2026-06-25 11:26:00",27,12.72,18.23,32.9,18.5
"2026-06-25 11:27:00",28,12.72,18.25,33.62,18.77
"2026-06-25 11:28:00",29,12.71,18.28,34.26,19.05
"2026-06-25 11:29:00",30,12.71,18.28,34.87,19.31
"2026-06-25 11:30:00",31,12.71,18.3,35.46,19.52
"2026-06-25 11:31:00",32,12.71,18.33,35.98,19.49
"2026-06-25 11:32:00",33,12.71,18.33,36.13,19.49
"2026-06-25 11:33:00",34,12.71,18.35,35.86,19.54
"2026-06-25 11:34:00",35,12.71,18.38,35.34,19.61
"2026-06-25 11:35:00",36,12.71,18.38,34.73,19.7
"2026-06-25 11:36:00",37,12.71,18.4,34.1,19.8
"2026-06-25 11:37:00",38,12.71,18.4,33.49,19.87
"2026-06-25 11:38:00",39,12.71,18.4,32.87,19.96
"2026-06-25 11:39:00",40,12.7,18.4,32.25,19.94
"2026-06-25 11:40:00",41,12.7,18.4,31.68,19.99
"2026-06-25 11:41:00",42,12.71,18.43,31.19,20.03
"2026-06-25 11:42:00",43,12.7,18.43,30.67,20.03
"2026-06-25 11:43:00",44,12.71,18.43,30.18,20.08
"2026-06-25 11:44:00",45,12.71,18.43,29.73,20
"2026-06-25 11:45:00",46,12.71,18.43,29.24,20.01
"2026-06-25 11:46:00",47,12.71,18.43,28.87,19.92
"2026-06-25 11:47:00",48,12.71,18.43,28.46,19.98
"2026-06-25 11:48:00",49,12.71,18.46,28.07,19.94
"2026-06-25 11:49:00",50,12.71,18.46,27.68,19.96
"2026-06-25 11:50:00",51,12.7,18.46,27.39,19.9
"2026-06-25 11:51:00",52,12.71,18.46,27.06,19.84
"2026-06-25 11:52:00",53,12.71,18.46,26.71,19.81
"2026-06-25 11:53:00",54,12.71,18.46,26.45,19.78
